id_copia;fecha_alquiler;fecha_devolucion;dni;nombre;apellido_1;apellido_2;email;telefono;codigo_postal;fecha_nacimiento;numero;piso;letra;calle;extension;titulo;genero;sinopsis;director
1;10/01/2024;11/01/2024;7281621M;Jorge;Mendez;Alvarez;jorge.mendez.alvarez@gmail.com;615944300;47006;26/05/2002;56;3;Izq.;Sol;3Izq.;Cadena perpetua;Drama;Acusado del asesinato de su mujer, Andrew Dufresne, tras ser condenado a cadena perpetua, es enviado a la prisión de Shawshank. Con el paso de los años conseguirá ganarse la confianza del director del centro y el respeto de sus compañeros presidiarios, especialmente de Red, el jefe de la mafia de los sobornos.;Frank Darabont
1;27/01/2024;28/01/2024;4426152D;Adrian;Gil;Fernandez;adrian.gil.fernandez@gmail.com;675655492;47002;21/03/1995;64;4;A;Francisco de Goya;4A;Cadena perpetua;Drama;Acusado del asesinato de su mujer, Andrew Dufresne, tras ser condenado a cadena perpetua, es enviado a la prisión de Shawshank. Con el paso de los años conseguirá ganarse la confianza del director del centro y el respeto de sus compañeros presidiarios, especialmente de Red, el jefe de la mafia de los sobornos.;Frank Darabont
1;28/01/2024;;9707193C;Aitor;Herrera;Roman;aitor.herrera.roman@gmail.com;646020411;47000;23/04/1992;77;3;Izq.;Rosalía de Castro;3Izq.;Cadena perpetua;Drama;Acusado del asesinato de su mujer, Andrew Dufresne, tras ser condenado a cadena perpetua, es enviado a la prisión de Shawshank. Con el paso de los años conseguirá ganarse la confianza del director del centro y el respeto de sus compañeros presidiarios, especialmente de Red, el jefe de la mafia de los sobornos.;Frank Darabont
2;31/01/2024;01/02/2024;2475849Z;Adrian;Santiago;Roman;adrian.santiago.roman@gmail.com;699684082;47001;20/12/2006;44;1;D;Agustina de Aragón;1D;Cadena perpetua;Drama;Acusado del asesinato de su mujer, Andrew Dufresne, tras ser condenado a cadena perpetua, es enviado a la prisión de Shawshank. Con el paso de los años conseguirá ganarse la confianza del director del centro y el respeto de sus compañeros presidiarios, especialmente de Red, el jefe de la mafia de los sobornos.;Frank Darabont
2;02/02/2024;;6121885K;Joaquin;Gil;Diaz;joaquin.gil.diaz@gmail.com;610203487;47005;29/07/2009;13;4;A;Miguel de Cervantes;4A;Cadena perpetua;Drama;Acusado del asesinato de su mujer, Andrew Dufresne, tras ser condenado a cadena perpetua, es enviado a la prisión de Shawshank. Con el paso de los años conseguirá ganarse la confianza del director del centro y el respeto de sus compañeros presidiarios, especialmente de Red, el jefe de la mafia de los sobornos.;Frank Darabont
3;14/01/2024;15/01/2024;7402615L;Eva;Hidalgo;Cortes;eva.hidalgo.cortes@gmail.com;666238181;47003;02/09/2010;57;2;A;Fuente;2A;El padrino;Drama;"Don Vito Corleone, conocido dentro de los círculos del hampa como 'El Padrino', es el patriarca de una de las cinco familias que ejercen el mando de la Cosa Nostra en Nueva York en los años cuarenta. Don Corleone tiene cuatro hijos: una chica, Connie, y tres varones; Sonny, Michael y Fredo. Cuando el Padrino reclina intervenir en el negocio de estupefacientes, empieza una cruenta lucha de violentos episodios entre las distintas familias del crimen organizado.";Francis Ford Coppola
3;28/01/2024;;1124603H;Ivan;Santana;Medina;ivan.santana.medina@gmail.com;694804631;47007;15/02/2005;6;3;D;Francisco Pizarro;3D;El padrino;Drama;"Don Vito Corleone, conocido dentro de los círculos del hampa como 'El Padrino', es el patriarca de una de las cinco familias que ejercen el mando de la Cosa Nostra en Nueva York en los años cuarenta. Don Corleone tiene cuatro hijos: una chica, Connie, y tres varones; Sonny, Michael y Fredo. Cuando el Padrino reclina intervenir en el negocio de estupefacientes, empieza una cruenta lucha de violentos episodios entre las distintas familias del crimen organizado.";Francis Ford Coppola
4;30/01/2024;31/01/2024;1396452F;Maria carmen;Crespo;Reyes;maria carmen.crespo.reyes@gmail.com;607425989;47005;17/11/2000;58;1;A;Francisco de Goya;1A;El padrino;Drama;"Don Vito Corleone, conocido dentro de los círculos del hampa como 'El Padrino', es el patriarca de una de las cinco familias que ejercen el mando de la Cosa Nostra en Nueva York en los años cuarenta. Don Corleone tiene cuatro hijos: una chica, Connie, y tres varones; Sonny, Michael y Fredo. Cuando el Padrino reclina intervenir en el negocio de estupefacientes, empieza una cruenta lucha de violentos episodios entre las distintas familias del crimen organizado.";Francis Ford Coppola
4;01/02/2024;;6162443F;Rodrigo;Muñoz;Muñoz;rodrigo.muñoz.muñoz@gmail.com;607661550;47001;23/10/2006;51;1;A;Antonio Machado;1A;El padrino;Drama;"Don Vito Corleone, conocido dentro de los círculos del hampa como 'El Padrino', es el patriarca de una de las cinco familias que ejercen el mando de la Cosa Nostra en Nueva York en los años cuarenta. Don Corleone tiene cuatro hijos: una chica, Connie, y tres varones; Sonny, Michael y Fredo. Cuando el Padrino reclina intervenir en el negocio de estupefacientes, empieza una cruenta lucha de violentos episodios entre las distintas familias del crimen organizado.";Francis Ford Coppola
5;10/01/2024;;3913881V;Maria pilar;Gallego;Moya;maria pilar.gallego.moya@gmail.com;611154361;47003;22/03/2015;86;3;B;Iglesia;3B;El padrino. Parte II;Drama;Continuación de la saga de los Corleone con dos historias paralelas: la elección de Michael Corleone como jefe de los negocios familiares y los orígenes del patriarca, el ya fallecido Don Vito, primero en Sicilia y luego en Estados Unidos, donde, empezando desde abajo, llegó a ser un poderosísimo jefe de la mafia de Nueva York.;Francis Ford Coppola
